002272	American Micro-Fuel Device Corp.
005088	AMANO CORPORATION
005031	AEROFLEX LABORATORIES, INC.
0090DB	NEXT LEVEL COMMUNICATIONS
009056	TELESTREAM, INC.
009068	DVT CORP.
00905E	RAULAND-BORG CORPORATION
0090AF	J. MORITA MFG. CORP.
005003	Xrite Inc
0050D3	DIGITAL AUDIO PROCESSING PTY. LTD.
0050AD	CommUnique Wireless Corp.
0050AF	INTERGON, INC.
009034	IMAGIC, INC.
0090AA	INDIGO ACTIVE VISION SYSTEMS LIMITED
00905B	RAYMOND AND LAE ENGINEERING
0090BC	TELEMANN CO., LTD.
00900A	PROTON ELECTRONIC INDUSTRIAL CO., LTD.
0090F8	MEDIATRIX TELECOM
009010	SIMULATION LABORATORIES, INC.
0090C6	OPTIM SYSTEMS, INC.
00902E	NAMCO LIMITED
009037	ACUCOMM, INC.
009078	MER TELEMANAGEMENT SOLUTIONS, LTD.
0090B8	ROHDE & SCHWARZ GMBH & CO. KG
00901A	UNISPHERE SOLUTIONS
0090B5	NIKON CORPORATION
009005	PROTECH SYSTEMS CO., LTD.
009059	TELECOM DEVICE K.K.
0090CA	ACCORD VIDEO TELECOMMUNICATIONS, LTD.
0090E9	JANZ COMPUTER AG
0090EB	SENTRY TELECOM SYSTEMS
0090FE	ELECOM CO., LTD.  (LANEED DIV.)
0090BB	TAINET COMMUNICATION SYSTEM Corp.
009090	I-BUS
0090D5	EUPHONIX, INC.
00904A	CONCUR SYSTEM TECHNOLOGIES
00908F	AUDIO CODES LTD.
00909E	Critical IO, LLC
001092	NETCORE INC.
00101C	OHM TECHNOLOGIES INTL, LLC
001046	ALCORN MCBRIDE INC.
001028	COMPUTER TECHNICA, INC.
0010B7	COYOTE TECHNOLOGIES, LLC
0090E5	TEKNEMA, INC.
0090F4	LIGHTNING INSTRUMENTATION
009074	ARGON NETWORKS, INC.
00909F	DIGI-DATA CORPORATION
00903B	TriEMS Research Lab, Inc.
0010C9	MITSUBISHI ELECTRONICS LOGISTIC SUPPORT CO.
000400	LEXMARK INTERNATIONAL, INC.
0010C5	PROTOCOL TECHNOLOGIES, INC.
00101A	PictureTel Corp.
001047	ECHO ELETRIC CO. LTD.
00903F	AZTEC RADIOMEDIA
001043	A2 CORPORATION
0010A5	OXFORD INSTRUMENTS
0010D7	ARGOSY RESEARCH INC.
00102C	Lasat Networks A/S
0010FD	COCOM A/S
009019	HERMES ELECTRONICS CO., LTD.
0090D8	WHITECROSS SYSTEMS
00104E	CEOLOGIC
0010C2	WILLNET, INC.
001040	INTERMEC CORPORATION
00102E	NETWORK SYSTEMS & TECHNOLOGIES PVT. LTD.
0010B0	MERIDIAN TECHNOLOGY CORP.
001021	ENCANTO NETWORKS, INC.
001064	DNPG, LLC
001074	ATEN INTERNATIONAL CO., LTD.
00109E	AWARE, INC.
001005	UEC COMMERCIAL
0010B8	ISHIGAKI COMPUTER SYSTEM CO.
00108B	LASERANIMATION SOLLINGER GMBH
0010C7	DATA TRANSMISSION NETWORK
001070	CARADON TREND LTD.
0010BA	MARTINHO-DAVIS SYSTEMS, INC.
0010B4	ATMOSPHERE NETWORKS
0004AC	IBM Corp
001067	Ericsson
00E07D	NETRONIX, INC.
00E028	APTIX CORPORATION
00E08C	NEOPARADIGM LABS, INC.
00E0A1	HIMA PAUL HILDEBRANDT GmbH Co. KG
00E088	LTX-Credence CORPORATION
00E05D	UNITEC CO., LTD.
00E05E	JAPAN AVIATION ELECTRONICS INDUSTRY, LTD.
00E09D	SARNOFF CORPORATION
00E058	PHASE ONE DENMARK A/S
00E076	DEVELOPMENT CONCEPTS, INC.
00E0F8	DICNA CONTROL AB
00E0F2	ARLOTTO COMNET, INC.
00E0E1	G2 NETWORKS, INC.
00E03D	FOCON ELECTRONIC SYSTEMS A/S
00E046	BENTLY NEVADA CORP.
00E07B	BAY NETWORKS
00E01D	WebTV NETWORKS, INC.
00E0CD	SAAB SENSIS CORPORATION
00E08D	PRESSURE SYSTEMS, INC.
00E019	ING. GIORDANO ELETTRONICA
00E047	InFocus Corporation
00E0C3	SAKAI SYSTEM DEVELOPMENT CORP.
00E092	ADMTEK INCORPORATED
00E0FF	SECURITY DYNAMICS TECHNOLOGIES, Inc.
00E0AB	DIMAT S.A.
00E030	MELITA INTERNATIONAL CORP.
00E033	E.E.P.D. GmbH
00E0A2	MICROSLATE INC.
00E079	A.T.N.R.
00E075	Verilink Corporation
006039	SanCom Technology, Inc.
006049	VINA TECHNOLOGIES
00608D	UNIPULSE CORP.
00E02E	SPC ELECTRONICS CORPORATION
00E09A	Positron Inc.
00E03E	ALFATECH, INC.
006099	SBE, Inc.
0060B3	Z-COM, INC.
006002	SCREEN SUBTITLING SYSTEMS, LTD
006089	XATA
006021	DSC CORPORATION
0060B8	CORELIS Inc.
00E0AA	ELECTROSONIC LTD.
00E010	HESS SB-AUTOMATENBAU GmbH
00E0D2	VERSANET COMMUNICATIONS, INC.
0060CE	ACCLAIM COMMUNICATIONS
006036	AIT Austrian Institute of Technology GmbH
00608E	HE ELECTRONICS, TECHNOLOGIE & SYSTEMTECHNIK GmbH
00601A	KEITHLEY INSTRUMENTS
00606A	MITSUBISHI WIRELESS COMMUNICATIONS. INC.
0060AD	MegaChips Corporation
006055	CORNELL UNIVERSITY
00606D	DIGITAL EQUIPMENT CORP.
0060B9	NEC Platforms, Ltd
00609C	Perkin-Elmer Incorporated
0060CF	ALTEON NETWORKS, INC.
006075	PENTEK, INC.
0060B7	CHANNELMATIC, INC.
006006	SOTEC CO., LTD
0060BA	SAHARA NETWORKS, INC.
006098	HT COMMUNICATIONS
0060DE	Kayser-Threde GmbH
0060D0	SNMP RESEARCH INCORPORATED
006015	NET2NET CORPORATION
00609D	PMI FOOD EQUIPMENT GROUP
0060A2	NIHON UNISYS LIMITED CO.
006084	DIGITAL VIDEO
00602D	ALERTON TECHNOLOGIES, INC.
0060F8	Loran International Technologies Inc.
006078	POWER MEASUREMENT LTD.
0060E8	HITACHI COMPUTER PRODUCTS (AMERICA), INC.
0060F6	NEXTEST COMMUNICATIONS PRODUCTS, INC.
006072	VXL INSTRUMENTS, LIMITED
006051	QUALITY SEMICONDUCTOR
006092	MICRO/SYS, INC.
00609E	ASC X3 - INFORMATION TECHNOLOGY STANDARDS SECRETARIATS
006010	NETWORK MACHINES, INC.
006044	LITTON/POLY-SCIENTIFIC
006004	COMPUTADORES MODULARES SA
0060E2	QUEST ENGINEERING & DEVELOPMENT
0060B4	GLENAYRE R&D INC.
00A01D	Red Lion Controls, LP
00A0A6	M.I. SYSTEMS, K.K.
00A051	ANGIA COMMUNICATIONS. INC.
00A013	TELTREND LTD.
00A0B9	EAGLE TECHNOLOGY, INC.
00A019	NEBULA CONSULTANTS, INC.
00A0ED	Brooks Automation, Inc.
0060CA	HARMONIC SYSTEMS INCORPORATED
006024	GRADIENT TECHNOLOGIES, INC.
0060AF	PACIFIC MICRO DATA, INC.
006038	Nortel Networks
00604F	Tattile SRL
00A0D0	TEN X TECHNOLOGY, INC.
00A0BC	VIASAT, INCORPORATED
00A05B	MARQUIP, INC.
00A08C	MultiMedia LANs, Inc.
00A058	GLORY, LTD.
00A077	FUJITSU NEXION, INC.
00A0A0	COMPACT DATA, LTD.
00A038	EMAIL ELECTRONICS
00A065	Symantec Corporation
00A0A3	RELIABLE POWER METERS
00A01B	PREMISYS COMMUNICATIONS, INC.
00A055	Data Device Corporation
00A074	PERCEPTION TECHNOLOGY
00A07F	GSM-SYNTEL, LTD.
00A029	COULTER CORPORATION
00A087	Microsemi Corporation
00A043	AMERICAN TECHNOLOGY LABS, INC.
00A042	SPUR PRODUCTS CORP.
00A0C1	ORTIVUS MEDICAL AB
00A04F	AMERITEC CORP.
00A0CF	SOTAS, INC.
00A072	OVATION SYSTEMS LTD.
00A082	NKT ELEKTRONIK A/S
00A0F0	TORONTO MICROELECTRONICS INC.
00A0D7	KASTEN CHASE APPLIED RESEARCH
00A0F1	MTI
00A0B3	ZYKRONIX
00A0FF	TELLABS OPERATIONS, INC.
00A0E5	NHC COMMUNICATIONS
00A036	APPLIED NETWORK TECHNOLOGY
00A0D2	ALLIED TELESIS INTERNATIONAL CORPORATION
00A09B	QPSX COMMUNICATIONS, LTD.
00A000	CENTILLION NETWORKS, INC.
00A08A	BROOKTROUT TECHNOLOGY, INC.
00A07B	DAWN COMPUTER INCORPORATION
00A05C	INVENTORY CONVERSION, INC./
00200F	EBRAINS Inc
00A0D3	INSTEM COMPUTER SYSTEMS, LTD.
00A0B4	TEXAS MICROSYSTEMS, INC.
00A060	ACER PERIPHERALS, INC.
00A083	ASIMMPHONY TURKEY
00A0AA	SPACELABS MEDICAL
00A03B	TOSHIN ELECTRIC CO., LTD.
00A0F3	STAUBLI
0020DF	KYOSAN ELECTRIC MFG. CO., LTD.
0020C7	AKAI Professional M.I. Corp.
00A004	NETPOWER, INC.
002029	TELEPROCESSING PRODUCTS, INC.
002069	ISDN SYSTEMS CORPORATION
00208B	LAPIS TECHNOLOGIES, INC.
00202B	ADVANCED TELECOMMUNICATIONS MODULES, LTD.
00206B	KONICA MINOLTA HOLDINGS, INC.
002004	YAMATAKE-HONEYWELL CO., LTD.
002015	ACTIS COMPUTER SA
002099	BON ELECTRIC CO., LTD.
0020F9	PARALINK NETWORKS, INC.
002092	CHESS ENGINEERING B.V.
002043	NEURON COMPANY LIMITED
002071	IBR GMBH
00207C	AUTEC GMBH
002057	TITZE DATENTECHNIK GmbH
0020E5	APEX DATA, INC.
002087	MEMOTEC, INC.
0020BC	Long Reach Networks Pty Ltd
00C0C0	SHORE MICROSYSTEMS, INC.
00C00C	RELIA TECHNOLGIES
00C073	XEDIA CORPORATION
00C0D4	AXON NETWORKS, INC.
00C0CD	COMELTA, S.A.
0020ED	GIGA-BYTE TECHNOLOGY CO., LTD.
002085	Eaton Corporation
0020CD	HYBRID NETWORKS, INC.
00202E	DAYSTAR DIGITAL
0020B3	Tattile SRL
0020EE	GTECH CORPORATION
00204C	MITRON COMPUTER PTE LTD.
002017	ORBOTECH
002093	LANDINGS TECHNOLOGY CORP.
002063	WIPRO INFOTECH LTD.
002016	SHOWA ELECTRIC WIRE & CABLE CO
00204D	INOVIS GMBH
00205F	GAMMADATA COMPUTER GMBH
00201F	BEST POWER TECHNOLOGY, INC.
0020B6	AGILE NETWORKS, INC.
0020D1	MICROCOMPUTER SYSTEMS (M) SDN.
0020CE	LOGICAL DESIGN GROUP, INC.
002014	GLOBAL VIEW CO., LTD.
0020C2	TEXAS MEMORY SYSTEMS, INC.
00C0F3	NETWORK COMMUNICATIONS CORP.
002056	NEOPRODUCTS
002042	DATAMETRICS CORP.
002078	RUNTOP, INC.
002006	GARRETT COMMUNICATIONS, INC.
002024	PACIFIC COMMUNICATION SCIENCES
00205D	NANOMATIC OY
00C005	LIVINGSTON ENTERPRISES, INC.
00C077	DAEWOO TELECOM LTD.
00C0C8	MICRO BYTE PTY. LTD.
00C069	Axxcelera Broadband Wireless
00C067	UNITED BARCODE INDUSTRIES
00C0A3	DUAL ENTERPRISES CORPORATION
00C018	LANART CORPORATION
009D8E	CARDIAC RECORDERS, INC.
00BB01	OCTOTHORPE CORP.
00C033	TELEBIT COMMUNICATIONS APS
00C090	PRAIM S.R.L.
00C0DE	ZCOMM, INC.
00C013	NETRIX
00C06B	OSI PLUS CORPORATION
00C04C	DEPARTMENT OF FOREIGN AFFAIRS
00C07C	HIGHTECH INFORMATION
00C0B8	FRASER'S HILL LTD.
00C062	IMPULSE TECHNOLOGY
00C0EC	DAUPHIN TECHNOLOGY
00C086	THE LYNK CORPORATION
00C058	DATAEXPERT CORP.
00C0D0	RATOC SYSTEM INC.
00C0BF	TECHNOLOGY CONCEPTS, LTD.
00C0BA	NETVANTAGE
00C05E	VARI-LITE, INC.
00C0D5	Werbeagentur Jürgen Siebert
00C063	MORNING STAR TECHNOLOGIES, INC
00C021	NETEXPRESS
00C0DB	IPC CORPORATION (PTE) LTD.
00C09B	RELIANCE COMM/TEC, R-TEC
00C0E3	OSITECH COMMUNICATIONS, INC.
00C0FE	APTEC COMPUTER SYSTEMS, INC.
00C016	ELECTRONIC THEATRE CONTROLS
00C0BC	TELECOM AUSTRALIA/CSSC
00C0C1	QUAD/GRAPHICS, INC.
00C089	TELINDUS DISTRIBUTION
00C0B0	GCC TECHNOLOGIES,INC.
00C00A	MICRO CRAFT
00C074	TOYODA AUTOMATIC LOOM
00404E	FLUENT, INC.
00408D	THE GOODYEAR TIRE & RUBBER CO.
00401B	PRINTER SYSTEMS CORP.
0040A3	MICROUNITY SYSTEMS ENGINEERING
0040B3	ParTech Inc.
00401D	INVISIBLE SOFTWARE, INC.
00C0CA	ALFA, INC.
00C06C	SVEC COMPUTER CORP.
0040FF	TELEBIT CORPORATION
00401F	COLORGRAPH LTD
0040AF	DIGITAL PRODUCTS, INC.
0040F7	Polaroid Corporation
004037	SEA-ILAN, INC.
00C026	LANS TECHNOLOGY CO., LTD.
00407E	EVERGREEN SYSTEMS, INC.
0040F9	COMBINET
00C0A7	SEEL LTD.
00C04A	GROUP 2000 AG
004054	CONNECTION MACHINES SERVICES
004004	ICM CO. LTD.
004058	KRONOS, INC.
004018	ADOBE SYSTEMS, INC.
00404A	WEST AUSTRALIAN DEPARTMENT
00403C	FORKS, INC.
004042	N.A.T. GMBH
0040F2	JANICH & KLASS COMPUTERTECHNIK
0040A2	KINGSTAR TECHNOLOGY INC.
0040DC	TRITEC ELECTRONIC GMBH
004060	COMENDEC LTD
004056	MCM JAPAN LTD.
004030	GK COMPUTER
004040	RING ACCESS, INC.
008057	ADSOFT, LTD.
0080BB	HUGHES LAN SYSTEMS
00403D	Teradata Corporation
0040D0	MITAC INTERNATIONAL CORP.
0040B6	COMPUTERM  CORPORATION
0040A6	Cray, Inc.
00403E	RASTER OPS CORPORATION
004046	UDC RESEARCH LIMITED
00C0D7	TAIWAN TRADING CENTER DBA
0040DA	TELSPEC LTD
0040C7	RUBY TECH CORPORATION
004052	STAR TECHNOLOGIES, INC.
00402E	PRECISION SOFTWARE, INC.
00402B	TRIGEM COMPUTER, INC.
00401A	FUJI ELECTRIC CO., LTD.
00405F	AFE COMPUTERS LTD.
004080	ATHENIX CORPORATION
004051	Garbee and Garbee
00407A	SOCIETE D'EXPLOITATION DU CNIT
004031	KOKUSAI ELECTRIC CO., LTD
0040D3	KIMPSION INTERNATIONAL CORP.
0040EE	OPTIMEM
004025	MOLECULAR DYNAMICS
004067	OMNIBYTE CORPORATION
0040C3	FISCHER AND PORTER CO.
0040EC	MIKASA SYSTEM ENGINEERING
00802F	NATIONAL INSTRUMENTS CORP.
008054	FRONTIER TECHNOLOGIES CORP.
008053	INTELLICOM, INC.
008026	NETWORK PRODUCTS CORPORATION
0080B0	ADVANCED INFORMATION
0080FA	RWT GMBH
0080FD	EXSCEED CORPRATION
0080FE	AZURE TECHNOLOGIES, INC.
00803C	TVS ELECTRONICS LTD
008046	Tattile SRL
004002	PERLE SYSTEMS LIMITED
004049	Roche Diagnostics International Ltd.
004029	Compex
00409E	CONCURRENT TECHNOLOGIES  LTD.
0080AD	CNET TECHNOLOGY, INC.
00800E	ATLANTIX CORPORATION
0080AB	DUKANE NETWORK INTEGRATION
0080F1	OPUS SYSTEMS
008029	EAGLE TECHNOLOGY, INC.
008072	MICROPLEX SYSTEMS LTD.
004001	Zero One Technology Co. Ltd.
004071	ATM COMPUTER GMBH
008011	DIGITAL SYSTEMS INT'L. INC.
008034	SMT GOUPIL
0080E4	NORTHWEST DIGITAL SYSTEMS, INC
0080EC	SUPERCOMPUTING SOLUTIONS, INC.
00802C	THE SAGE GROUP PLC
0080D6	NUVOTECH, INC.
00800A	JAPAN COMPUTER CORP.
00804B	EAGLE TECHNOLOGIES PTY.LTD.
0080C8	D-LINK SYSTEMS, INC.
008012	INTEGRATED MEASUREMENT SYSTEMS
008027	ADAPTIVE SYSTEMS, INC.
0080FC	AVATAR CORPORATION
008016	WANDEL AND GOLTERMANN
0080A2	CREATIVE ELECTRONIC SYSTEMS
0080CC	MICROWAVE BYPASS SYSTEMS
0080A5	SPEED INTERNATIONAL
008079	MICROBUS DESIGNS LTD.
000079	NETWORTH INCORPORATED
000091	ANRITSU CORPORATION
000075	Nortel Networks
0000A5	Tattile SRL
000036	ATARI CORPORATION
0000F8	DIGITAL EQUIPMENT CORPORATION
00805C	AGILIS CORPORATION
0080C5	NOVELLCO DE MEXICO
008078	PRACTICAL PERIPHERALS, INC.
0080F6	SYNERGY MICROSYSTEMS
00807B	ARTEL COMMUNICATIONS CORP.
008014	ESPRIT SYSTEMS
0080B7	STELLAR COMPUTER
0000ED	APRIL
0000A3	NETWORK APPLICATION TECHNOLOGY
000039	TOSHIBA CORPORATION
00003C	AUSPEX SYSTEMS INC.
00007E	CLUSTRIX CORPORATION
0000CB	COMPU-SHACK ELECTRONIC GMBH
000013	CAMEX
000095	SONY TEKTRONIX CORP.
000057	SCITEX CORPORATION LTD.
0000D6	PUNCH LINE HOLDING
00009E	MARLI S.A.
000042	METIER MANAGEMENT SYSTEMS LTD.
00007D	Oracle Corporation
000096	MARCONI ELECTRONICS LTD.
00005E	ICANN, IANA Department
000038	CSS LABS
000044	CASTELLE CORPORATION
0000CE	MEGADATA CORP.
00007B	RESEARCH MACHINES
00000F	NEXT, INC.
0000BB	TRI-DATA
00001A	ADVANCED MICRO DEVICES
00007F	LINOTYPE-HELL AG
08006F	PHILIPS APELDOORN B.V.
000040	APPLICON, INC.
00005D	CS TELECOM
000012	INFORMATION TECHNOLOGY LIMITED
00008A	DATAHOUSE INFORMATION SYSTEMS
000032	Marconi plc
000085	CANON INC.
00004A	ADC CODENOLL TECHNOLOGY CORP.
08008F	CHIPCOM CORPORATION
00006A	COMPUTER CONSOLES INC.
08003E	CODEX CORPORATION
080040	FERRANTI COMPUTER SYS. LIMITED
08003A	ORCATECH INC.
08003D	CADNETIX CORPORATIONS
080038	BULL S.A.S.
080073	TECMAR INC.
080072	XEROX CORP UNIV GRANT PROGRAM
08006A	AT&T
08007A	INDATA
080079	THE DROID WORKS
08004D	CORVUS SYSTEMS INC.
08002F	PRIME COMPUTER INC.
08002C	BRITTON LEE INC.
080062	General Dynamics
08005C	FOUR PHASE SYSTEMS
08005A	IBM Corp
080052	INSYSTEC
08001E	APOLLO COMPUTER INC.
080019	GENERAL ELECTRIC CORPORATION
027001	RACAL-DATACOM
08000E	NCR CORPORATION
00DD09	UNGERMANN-BASS INC.
000002	XEROX CORPORATION
000003	XEROX CORPORATION
000006	XEROX CORPORATION
080001	COMPUTERVISION CORPORATION
080005	SYMBOLICS INC.
00DD07	UNGERMANN-BASS INC.
000008	XEROX CORPORATION
00003D	UNISYS
00DD0D	UNGERMANN-BASS INC.
080064	Sitasys AG
080002	BRIDGE COMMUNICATIONS INC.
08001A	TIARA/ 10NET
08008B	PYRAMID TECHNOLOGY CORP.
080012	BELL ATLANTIC INTEGRATED SYST.
14A1BF	ASSA ABLOY Korea Co., Ltd Unilock
9483C4	GL Technologies (Hong Kong) Limited
080030	ROYAL MELBOURNE INST OF TECH
00000B	MATRIX CORPORATION
00009B	INFORMATION INTERNATIONAL, INC
9C93B0	Megatronix (Beijing) Technology Co., Ltd.
64AEF1	Qingdao Hisense Electronics Co.,Ltd.
080016	BARRISTER INFO SYS CORP
44CB8B	LG Innotek
B4055D	Inspur Electronic Information Industry Co.,Ltd.
984827	TP-LINK TECHNOLOGIES CO.,LTD.
D4F5EF	Hewlett Packard Enterprise
28BD89	Google, Inc.
EC1BBD	Silicon Laboratories
D8A315	vivo Mobile Communication Co., Ltd.
80647A	Ola Sense Inc
70F82B	DWnet Technologies(Suzhou) Corporation
142475	4DReplay, Inc
10DCB6	IEEE Registration Authority
F89E28	Cisco Meraki
F8C4F3	Shanghai Infinity Wireless Technologies Co.,Ltd.
D4772B	Nanjing Ztlink Network Technology Co.,Ltd
64F9C0	ANALOG DEVICES
18D0C5	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD
34ED1B	Cisco Systems, Inc
BCA511	NETGEAR
000A7B	Cornelius Consult
C4447D	HUAWEI TECHNOLOGIES CO.,LTD
30E98E	HUAWEI TECHNOLOGIES CO.,LTD
748B34	Shanghai Smart System Technology Co., Ltd
ACBD70	Huawei Device Co., Ltd.
C02E26	Private
34D262	SZ DJI TECHNOLOGY CO.,LTD
0812A5	Amazon Technologies Inc.
807FF8	Juniper Networks
440377	IEEE Registration Authority
002487	Transact Campus, Inc.
B4E9A3	port industrial automation GmbH
38E8EE	Nanjing Youkuo Electric Technology Co., Ltd
90B8E0	SHENZHEN YANRAY TECHNOLOGY CO.,LTD
9CF531	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD
80E455	New H3C Technologies Co., Ltd
2C4CC6	Murata Manufacturing Co., Ltd.
7C210D	Cisco Systems, Inc
4CBC72	Primex Wireless
6802B8	Compal Broadband Networks, Inc.
3463D4	BIONIX SUPPLYCHAIN TECHNOLOGIES SLU
08F7E9	HRCP Research and Development Partnership
8CBA25	UNIONMAN TECHNOLOGY CO.,LTD
D49E3B	Guangzhou Shiyuan Electronic Technology Company Limited
DCDCE2	Samsung Electronics Co.,Ltd
A0AC69	Samsung Electronics Co.,Ltd
1089FB	Samsung Electronics Co.,Ltd
DC4BDD	Shenzhen SuperElectron Technology Co.,Ltd.
C0B5CD	Huawei Device Co., Ltd.
4C5077	Huawei Device Co., Ltd.
502DBB	GD Midea Air-Conditioning Equipment Co.,Ltd.
5C3A3D	zte corporation
30FD65	HUAWEI TECHNOLOGIES CO.,LTD
7CA1AE	Apple, Inc.
3C22FB	Apple, Inc.
58EAFC	ELL-IoT Inc
9013DA	Athom B.V.
14115D	Skyworth Digital Technology(Shenzhen) Co.,Ltd
E4F327	ATOL LLC
6819AC	Guangzhou Xianyou Intelligent Technogoly CO., LTD
E82E0C	NETINT Technologies Inc.
1892A4	Ciena Corporation
10082C	Texas Instruments
B0735D	Huawei Device Co., Ltd.
5C3A45	CHONGQING FUGUI ELECTRONICS CO.,LTD.
A03C31	Shenzhen Belon Technology CO.,LTD
A897CD	ARRIS Group, Inc.
404C77	ARRIS Group, Inc.
2CE310	Stratacache
0022A0	APTIV SERVICES US, LLC
A4307A	Samsung Electronics Co.,Ltd
FC8E5B	China Mobile Iot Limited company
142A14	ShenZhen Selenview Digital Technology Co.,Ltd
D87E76	ITEL MOBILE LIMITED
384B5B	ZTRON TECHNOLOGY LIMITED
B86142	Beijing Tricolor Technology Co., Ltd
200A0D	IEEE Registration Authority
E47C65	Sunstar Communication Technology  Co., Ltd
9C54DA	SkyBell Technologies Inc.
4C494F	zte corporation
C4741E	zte corporation
00D078	Eltex of Sweden AB
5C78F8	Huawei Device Co., Ltd.
B827C5	Huawei Device Co., Ltd.
DC8983	Samsung Electronics Co.,Ltd
5CCB99	Samsung Electronics Co.,Ltd
D46075	Baidu Online Network Technology (Beijing) Co., Ltd
78C5F8	Huawei Device Co., Ltd.
D45D64	ASUSTek COMPUTER INC.
90B144	Samsung Electronics Co.,Ltd
48DD0C	eero inc.
940C98	Apple, Inc.
E8FBE9	Apple, Inc.
38EC0D	Apple, Inc.
58278C	BUFFALO.INC
140AC5	Amazon Technologies Inc.
2083F8	Advanced Digital Broadcast SA
C8C750	Motorola Mobility LLC, a Lenovo Company
2CDCD7	AzureWave Technology Inc.
34E3DA	Hoval Aktiengesellschaft
E0BB9E	Seiko Epson Corporation
48D24F	Sagemcom Broadband SAS
E4AAEC	Tianjin Hualai Technology Co., Ltd
94BE46	Motorola (Wuhan) Mobility Technologies Communication Co., Ltd.
ACF8CC	ARRIS Group, Inc.
8C5A25	ARRIS Group, Inc.
483FDA	Espressif Inc.
6C5D3A	Microsoft Corporation
CCD42E	Arcadyan Corporation
C853E1	Beijing Bytedance Network Technology Co., Ltd
14169D	Cisco Systems, Inc
48A2E6	Resideo
90E2FC	IEEE Registration Authority
F008D1	Espressif Inc.
5894B2	BrainCo
B09575	TP-LINK TECHNOLOGIES CO.,LTD.
B4B055	HUAWEI TECHNOLOGIES CO.,LTD
048C16	HUAWEI TECHNOLOGIES CO.,LTD
98DD5B	TAKUMI JAPAN LTD
3C5CF1	eero inc.
14AE85	IEEE Registration Authority
90749D	IRay Technology Co., Ltd.
8C3B32	Microfan B.V.
D0D3E0	Aruba, a Hewlett Packard Enterprise Company
645CF3	ParanTek Inc.
B0CCFE	Huawei Device Co., Ltd.
540DF9	Huawei Device Co., Ltd.
006619	Huawei Device Co., Ltd.
FC3964	ITEL MOBILE LIMITED
14472D	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD
E490FD	Apple, Inc.
84AB1A	Apple, Inc.
206D31	FIREWALLA INC
D06544	Apple, Inc.
186F2D	Shenzhen Sundray Technologies Company Limited
F84FAD	Hui Zhou Gaoshengda Technology Co.,LTD
4C0A3D	ADNACOM INC.
3C806B	Hunan Voc Acoustics Technology Co., Ltd.
60DE35	GITSN, Inc.
28317E	Hongkong Nano IC Technologies Co., Ltd
A84122	China Mobile (Hangzhou) Information Technology Co.,Ltd.
6CDDBC	Samsung Electronics Co.,Ltd
CC7F76	Cisco Systems, Inc
40BC68	Wuhan Funshion Online Technologies Co.,Ltd
DC9840	Microsoft Corporation
447654	HUAWEI TECHNOLOGIES CO.,LTD
7CD9A0	HUAWEI TECHNOLOGIES CO.,LTD
F033E5	HUAWEI TECHNOLOGIES CO.,LTD
B4F18C	Huawei Device Co., Ltd.
B8CEF6	Mellanox Technologies, Inc.
B802A4	Aeonsemi, Inc.
E48326	HUAWEI TECHNOLOGIES CO.,LTD
9405BB	IEEE Registration Authority
8C5FAD	Fiberhome Telecommunication Technologies Co.,LTD
ACC25D	Fiberhome Telecommunication Technologies Co.,LTD
8C0C87	Nokia
C432D1	Farlink Technology Limited
CC418E	MSA Innovation
CCA7C1	Google, Inc.
388479	Cisco Meraki
7C9EBD	Espressif Inc.
1C0219	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD
C8D778	BSH Hausgeraete GmbH
9C611D	Panasonic Corporation of North America
C095DA	NXP India Private Limited
B42200	Brother Industries, LTD.
6849B2	CARLO GAVAZZI LTD
487AFF	ESSYS
40B6E7	Huawei Device Co., Ltd.
D0B45D	Huawei Device Co., Ltd.
8836CF	Huawei Device Co., Ltd.
A4C54E	Huawei Device Co., Ltd.
D4BBE6	Huawei Device Co., Ltd.
009EEE	Positivo Tecnologia S.A.
90B832	Extreme Networks, Inc.
402F86	LG Innotek
D422CD	Xsens Technologies B.V.
C8675E	Extreme Networks, Inc.
9C5D12	Extreme Networks, Inc.
F09CE9	Extreme Networks, Inc.
C413E2	Extreme Networks, Inc.
F4EB9F	Ellu Company 2019 SL
E898C2	ZETLAB Company
D41AC8	Nippon Printer Engineering
5061F6	Universal Electronics, Inc.
000C32	Avionic Design GmbH
000A0D	Amphenol
F45420	TELLESCOM INDUSTRIA E COMERCIO EM TELECOMUNICACAO
4C4088	SANSHIN ELECTRONICS CO.,LTD.
64DDE9	Xiaomi Communications Co Ltd
0C817D	EEP Elektro-Elektronik Pranjic GmbH
04F5F4	Proxim Wireless
C8BCE5	Sense Things Japan INC.
E8B470	IEEE Registration Authority
001BED	Brocade Communications Systems LLC
000CDB	Brocade Communications Systems LLC
000480	Brocade Communications Systems LLC
609C9F	Brocade Communications Systems LLC
000088	Brocade Communications Systems LLC
0060DF	Brocade Communications Systems LLC
006069	Brocade Communications Systems LLC
000533	Brocade Communications Systems LLC
B04502	Huawei Device Co., Ltd.
1C1FF1	Huawei Device Co., Ltd.
B4EF1C	360 AI Technology Co.Ltd
14DE39	Huawei Device Co., Ltd.
B8F009	Espressif Inc.
FC71FA	Trane Technologies
